"ShopKpr_Id";"Name";"Age";"Address";"Security_Id"
"001";"Praveen";"34";"IIT Patna";"001"
"002";"Praveen";"34";"IIT Patna";"002"
"003";"Praveen";"34";"IIT Patna";"003"
"004";"Praveen";"34";"IIT Patna";"004"
"005";"Praveen";"34";"IIT Patna";"005"
"006";"Praveen";"34";"IIT Patna";"006"
"007";"Praveen";"34";"IIT Patna";"007"
"skid1";"james smith";"43";"Bihta";"sec1"
"skid10";"mary smith";"37";"Bihta";"sec10"
"skid100";"patricia johnson";"31";"Bihta";"sec100"
"skid11";"james brown";"39";"Patna";"sec11"
"skid12";"john smith";"44";"Patna";"sec12"
"skid13";"david johnson";"43";"Bihta";"sec13"
"skid14";"michael brown";"41";"Patna";"sec14"
"skid15";"maria garcia";"47";"Patna";"sec15"
"skid16";"michael williams";"36";"Patna";"sec16"
"skid17";"michael jones";"48";"Bihta";"sec17"
"skid18";"james jones";"48";"Bihta";"sec18"
"skid19";"maria rodriguez";"36";"Patna";"sec19"
"skid2";"michael smith";"48";"Patna";"sec2"
"skid20";"robert brown";"31";"Patna";"sec20"
"skid21";"michael miller";"32";"Patna";"sec21"
"skid22";"robert jones";"48";"Bihta";"sec22"
"skid23";"robert williams";"46";"Patna";"sec23"
"skid24";"william johnson";"48";"Patna";"sec24"
"skid25";"james davis";"39";"Bihta";"sec25"
"skid26";"mary johnson";"46";"Bihta";"sec26"
"skid27";"maria martinez";"47";"Patna";"sec27"
"skid28";"charles smith";"31";"Bihta";"sec28"
"skid29";"david brown";"33";"Bihta";"sec29"
"skid3";"robert smith";"35";"Bihta";"sec3"
"skid30";"robert miller";"45";"Patna";"sec30"
"skid31";"james miller";"36";"Patna";"sec31"
"skid32";"john williams";"33";"Patna";"sec32"
"skid33";"richard smith";"32";"Patna";"sec33"
"skid34";"david williams";"30";"Bihta";"sec34"
"skid35";"david jones";"32";"Bihta";"sec35"
"skid36";"michael davis";"32";"Patna";"sec36"
"skid37";"william brown";"50";"Bihta";"sec37"
"skid38";"david miller";"45";"Patna";"sec38"
"skid39";"mary williams";"41";"Bihta";"sec39"
"skid4";"david smith";"45";"Bihta";"sec4"
"skid40";"jennifer smith";"36";"Bihta";"sec40"
"skid41";"william jones";"34";"Bihta";"sec41"
"skid42";"john johnson";"30";"Bihta";"sec42"
"skid43";"john miller";"49";"Bihta";"sec43"
"skid44";"daniel smith";"37";"Bihta";"sec44"
"skid45";"thomas smith";"49";"Bihta";"sec45"
"skid46";"linda smith";"42";"Bihta";"sec46"
"skid47";"james wilson";"38";"Patna";"sec47"
"skid48";"robert davis";"38";"Bihta";"sec48"
"skid49";"mary brown";"40";"Patna";"sec49"
"skid5";"james johnson";"40";"Bihta";"sec5"
"skid50";"mary jones";"50";"Bihta";"sec50"
"skid51";"patricia smith";"33";"Patna";"sec51"
"skid52";"james moore";"33";"Bihta";"sec52"
"skid53";"james taylor";"49";"Bihta";"sec53"
"skid54";"william miller";"42";"Bihta";"sec54"
"skid55";"john davis";"46";"Patna";"sec55"
"skid56";"charles johnson";"43";"Patna";"sec56"
"skid57";"william davis";"30";"Bihta";"sec57"
"skid58";"john jones";"31";"Patna";"sec58"
"skid59";"richard johnson";"49";"Patna";"sec59"
"skid6";"michael johnson";"43";"Patna";"sec6"
"skid60";"james anderson";"40";"Patna";"sec60"
"skid61";"robert taylor";"41";"Patna";"sec61"
"skid62";"barbara smith";"30";"Bihta";"sec62"
"skid63";"michael moore";"41";"Patna";"sec63"
"skid64";"james martin";"43";"Bihta";"sec64"
"skid65";"michael wilson";"43";"Patna";"sec65"
"skid66";"james thomas";"32";"Patna";"sec66"
"skid67";"joseph smith";"30";"Bihta";"sec67"
"skid68";"james white";"44";"Bihta";"sec68"
"skid69";"mary miller";"30";"Patna";"sec69"
"skid7";"william smith";"40";"Patna";"sec7"
"skid70";"robert anderson";"39";"Patna";"sec70"
"skid71";"robert wilson";"43";"Bihta";"sec71"
"skid72";"charles williams";"43";"Patna";"sec72"
"skid73";"jennifer johnson";"47";"Patna";"sec73"
"skid74";"michael anderson";"47";"Bihta";"sec74"
"skid75";"john brown";"50";"Bihta";"sec75"
"skid76";"michael martin";"47";"Patna";"sec76"
"skid77";"james thompson";"34";"Patna";"sec77"
"skid78";"mark smith";"42";"Patna";"sec78"
"skid79";"michael thomas";"40";"Bihta";"sec79"
"skid8";"james williams";"43";"Patna";"sec8"
"skid80";"david anderson";"31";"Patna";"sec80"
"skid81";"linda johnson";"42";"Patna";"sec81"
"skid82";"elizabeth smith";"41";"Patna";"sec82"
"skid83";"mary davis";"43";"Bihta";"sec83"
"skid84";"james jackson";"44";"Patna";"sec84"
"skid85";"michael taylor";"33";"Patna";"sec85"
"skid86";"charles brown";"46";"Patna";"sec86"
"skid87";"daniel garcia";"39";"Bihta";"sec87"
"skid88";"james lee";"47";"Bihta";"sec88"
"skid89";"michael thompson";"44";"Patna";"sec89"
"skid9";"robert johnson";"45";"Bihta";"sec9"
"skid90";"daniel johnson";"34";"Bihta";"sec90"
"skid91";"david wilson";"35";"Patna";"sec91"
"skid92";"thomas johnson";"48";"Bihta";"sec92"
"skid93";"john anderson";"50";"Bihta";"sec93"
"skid94";"robert moore";"33";"Patna";"sec94"
"skid95";"john wilson";"36";"Bihta";"sec95"
"skid96";"richard brown";"33";"Bihta";"sec96"
"skid97";"charles jones";"44";"Bihta";"sec97"
"skid98";"mark johnson";"34";"Patna";"sec98"
"skid99";"robert lee";"36";"Bihta";"sec99"
