"ShopKpr_Id";"PhNo"
"001";"12312141"
"001";"12312142"
"002";"12312147"
"003";"12312146"
"006";"12312143"
"007";"12312145"
"skid1";"3880565513"
"skid10";"7920429365"
"skid10";"9746679533"
"skid100";"8354198688"
"skid11";"2806918362"
"skid12";"1132463723"
"skid13";"1204414004"
"skid14";"9164008831"
"skid15";"1490747514"
"skid16";"5242132341"
"skid16";"9758459106"
"skid17";"6547409419"
"skid17";"8384160753"
"skid17";"9785116773"
"skid18";"5437851306"
"skid19";"867689663"
"skid2";"6094151168"
"skid20";"9577889695"
"skid21";"2678468265"
"skid22";"3912665368"
"skid23";"6504128152"
"skid23";"7507570212"
"skid24";"2612927383"
"skid24";"4160560691"
"skid25";"2718219916"
"skid25";"5953185889"
"skid25";"9877668330"
"skid26";"2598670045"
"skid27";"1854406337"
"skid28";"9534960422"
"skid29";"2884682468"
"skid3";"1572976357"
"skid3";"9273020177"
"skid3";"9868863014"
"skid30";"1891364793"
"skid31";"4070978526"
"skid32";"8599885784"
"skid33";"1730210225"
"skid34";"7170570209"
"skid34";"7996457506"
"skid35";"1596408388"
"skid36";"3080872085"
"skid37";"1146827225"
"skid37";"7207518834"
"skid38";"9914214506"
"skid39";"8991212837"
"skid4";"9334749987"
"skid40";"3810201369"
"skid40";"4658313128"
"skid41";"3495367174"
"skid42";"8206317946"
"skid43";"7860668867"
"skid44";"4751556954"
"skid44";"6742129284"
"skid45";"399990145"
"skid45";"4171973782"
"skid45";"6942378400"
"skid46";"6290341751"
"skid47";"4557113866"
"skid48";"2367665870"
"skid48";"9687841328"
"skid49";"8630029819"
"skid5";"2088470880"
"skid5";"6032858413"
"skid50";"5917522458"
"skid51";"438285262"
"skid51";"2532905711"
"skid52";"2790584123"
"skid53";"596283404"
"skid53";"615333512"
"skid53";"1324706765"
"skid53";"9566075879"
"skid54";"8893563676"
"skid55";"8457694737"
"skid56";"8463175804"
"skid57";"6133418944"
"skid58";"774729161"
"skid59";"7925698812"
"skid6";"1965194048"
"skid6";"6550612554"
"skid60";"1433766109"
"skid60";"8409646231"
"skid61";"6718094037"
"skid61";"8757873715"
"skid62";"9920682559"
"skid63";"5058065036"
"skid63";"9783677881"
"skid64";"2920744054"
"skid65";"7927977357"
"skid66";"5747025145"
"skid67";"3617625223"
"skid67";"4572901148"
"skid68";"9283447381"
"skid69";"560976266"
"skid7";"2330254716"
"skid7";"2911238363"
"skid7";"5592089188"
"skid7";"7462529164"
"skid70";"225464598"
"skid70";"4738548328"
"skid71";"4099224518"
"skid72";"1356429494"
"skid73";"550943216"
"skid74";"4797198820"
"skid74";"8473226020"
"skid75";"3087124051"
"skid76";"3559802030"
"skid76";"4442507171"
"skid76";"5108250916"
"skid77";"4412938948"
"skid78";"8748438090"
"skid79";"5663511179"
"skid79";"9342261668"
"skid8";"3987038769"
"skid80";"8016402080"
"skid81";"8757734337"
"skid82";"687280153"
"skid82";"1030321004"
"skid82";"1101543902"
"skid82";"1211535560"
"skid83";"6829626564"
"skid84";"358460769"
"skid84";"5481928686"
"skid85";"1793215287"
"skid85";"3021396583"
"skid86";"4211469139"
"skid87";"7029210557"
"skid87";"7645005836"
"skid88";"2632589187"
"skid89";"8147858146"
"skid9";"2754790317"
"skid9";"3570519220"
"skid9";"6090998226"
"skid9";"8359299779"
"skid90";"4374771308"
"skid91";"7984270581"
"skid92";"2719896375"
"skid93";"5433239483"
"skid94";"1753851016"
"skid94";"7004740342"
"skid95";"5500003581"
"skid95";"7947785604"
"skid96";"8176910573"
"skid96";"9003467524"
"skid97";"339544435"
"skid97";"2402075856"
"skid97";"3621082012"
"skid98";"4231693902"
"skid99";"6406996104"
"skid99";"7407804991"
